trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
20808539-2013-COMBMAST-Weekday-17,6:36:00,6:36:00,4531,31,0,0
20808074-2013-COMBMAST-Weekday-17,6:40:00,6:40:00,4531,12,0,0
20816418-2013-COMBMAST-Weekday-17,6:40:00,6:40:00,4531,5,0,0
20808876-2013-COMBMAST-Weekday-17,6:51:00,6:51:00,4531,12,0,0
20807860-2013-COMBMAST-Weekday-17,6:55:00,6:55:00,4531,5,0,0
20807641-2013-COMBMAST-Weekday-17,6:57:00,6:57:00,4531,31,0,0
20808293-2013-COMBMAST-Weekday-17,6:59:00,6:59:00,4531,42,0,0
20809056-2013-COMBMAST-Weekday-17,6:59:00,6:59:00,4531,27,0,0
20808673-2013-COMBMAST-Weekday-17,7:02:00,7:02:00,4531,41,0,0
20815184-2013-COMBMAST-Weekday-17,7:02:00,7:02:00,4531,5,0,0
20810247-2013-COMBMAST-Weekday-17,7:05:00,7:05:00,4531,12,0,0
20807516-2013-COMBMAST-Weekday-17,7:08:00,7:08:00,4531,20,0,0
20817136-2013-COMBMAST-Weekday-17,7:11:00,7:11:00,4531,12,0,0
20808836-2013-COMBMAST-Weekday-17,7:14:00,7:14:00,4531,5,0,0
20808117-2013-COMBMAST-Weekday-17,7:15:00,7:15:00,4531,6,0,0
20807457-2013-COMBMAST-Weekday-17,7:16:00,7:16:00,4531,31,0,0
20808591-2013-COMBMAST-Weekday-17,7:16:00,7:16:00,4531,31,0,0
20808217-2013-COMBMAST-Weekday-17,7:19:00,7:19:00,4531,44,0,0
20808012-2013-COMBMAST-Weekday-17,7:21:00,7:21:00,4531,8,0,0
20808522-2013-COMBMAST-Weekday-17,7:22:00,7:22:00,4531,41,0,0
20816436-2013-COMBMAST-Weekday-17,7:23:00,7:23:00,4531,56,0,0
20808254-2013-COMBMAST-Weekday-17,7:25:00,7:25:00,4531,5,0,0
20816848-2013-COMBMAST-Weekday-17,7:25:00,7:25:00,4531,22,0,0
20808330-2013-COMBMAST-Weekday-17,7:26:00,7:26:00,4531,42,0,0
20807657-2013-COMBMAST-Weekday-17,7:27:00,7:27:00,4531,27,0,0
20808050-2013-COMBMAST-Weekday-17,7:28:00,7:28:00,4531,31,0,0
20808422-2013-COMBMAST-Weekday-17,7:28:00,7:28:00,4531,37,0,0
20808243-2013-COMBMAST-Weekday-17,7:31:00,7:31:00,4531,20,0,0
20815701-2013-COMBMAST-Weekday-17,7:32:00,7:32:00,4531,5,0,0
20816999-2013-COMBMAST-Weekday-17,7:32:00,7:32:00,4531,21,0,0
20808871-2013-COMBMAST-Weekday-17,7:33:00,7:33:00,4531,38,0,0
20808932-2013-COMBMAST-Weekday-17,7:38:00,7:38:00,4531,6,0,0
20816895-2013-COMBMAST-Weekday-17,7:40:00,7:40:00,4531,28,0,0
20807960-2013-COMBMAST-Weekday-17,7:41:00,7:41:00,4531,44,0,0
20808649-2013-COMBMAST-Weekday-17,7:41:00,7:41:00,4531,31,0,0
20815167-2013-COMBMAST-Weekday-17,7:41:00,7:41:00,4531,56,0,0
20816945-2013-COMBMAST-Weekday-17,7:41:00,7:41:00,4531,29,0,0
20808759-2013-COMBMAST-Weekday-17,7:44:00,7:44:00,4531,8,0,0
20807818-2013-COMBMAST-Weekday-17,7:45:00,7:45:00,4531,41,0,0
20807979-2013-COMBMAST-Weekday-17,7:45:00,7:45:00,4531,5,0,0
20808510-2013-COMBMAST-Weekday-17,7:45:00,7:45:00,4531,37,0,0
20807388-2013-COMBMAST-Weekday-17,7:46:00,7:46:00,4531,20,0,0
20808611-2013-COMBMAST-Weekday-17,7:48:00,7:48:00,4531,31,0,0
20807832-2013-COMBMAST-Weekday-17,7:49:00,7:49:00,4531,42,0,0
20817184-2013-COMBMAST-Weekday-17,7:49:00,7:49:00,4531,36,0,0
20807610-2013-COMBMAST-Weekday-17,7:50:00,7:50:00,4531,20,0,0
20816598-2013-COMBMAST-Weekday-17,7:51:00,7:51:00,4531,27,0,0
20807853-2013-COMBMAST-Weekday-17,7:54:00,7:54:00,4531,20,0,0
20815160-2013-COMBMAST-Weekday-17,7:54:00,7:54:00,4531,5,0,0
20808292-2013-COMBMAST-Weekday-17,7:56:00,7:56:00,4531,37,0,0
20808635-2013-COMBMAST-Weekday-17,7:56:00,7:56:00,4531,38,0,0
20809095-2013-COMBMAST-Weekday-17,7:57:00,7:57:00,4531,31,0,0
20808005-2013-COMBMAST-Weekday-17,7:58:00,7:58:00,4531,20,0,0
20815314-2013-COMBMAST-Weekday-17,7:58:00,7:58:00,4531,22,0,0
20808748-2013-COMBMAST-Weekday-17,8:00:00,8:00:00,4531,44,0,0
20809048-2013-COMBMAST-Weekday-17,8:00:00,8:00:00,4531,8,0,0
